;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68
26;0;1;22;0;0;0;0;0;0;0;13;0;2;0;0;0;13;7;20;0;0;0;2;0;1;0;22;0;1;0;3;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;2;7;16;0;0;0;2;0;0;0
27;0;33;27;0;0;0;0;0;3;0;0;0;6;0;0;7;2;0;0;0;0;22;8;4;16;22;0;0;0;0;1;0;0;5;0;10;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;5;1;0;3;6;52;0;0;0;0;0;0;0
28;0;0;0;11;0;1;57;0;2;11;1;0;0;0;0;3;0;0;1;4;20;0;2;29;0;0;0;0;4;17;0;0;0;5;0;0;0;2;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;3;0;0;0;7;0;0;0;4;0;0;0;0;0;0
29;33;0;0;0;0;6;11;4;0;9;16;9;0;43;1;0;4;3;5;4;6;0;5;1;0;1;0;4;0;33;0;3;21;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;16;0;1;0;0;0;25;1;0;0;0;0;0;8;0;0;2;0;0;0;56;0;13;0;0;0;0;17;33;0;0;0;10;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;0;0;0;0;0;0;0;0;0;0;3;0;23;0;0;0;0;0;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;12;0;0;0
32;0;0;0;0;31;8;0;8;3;0;11;1;0;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;5;0;1;0;0;0;0;0;21;10;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;3;0;4;0;0;3;5;2;0;10;41;7;1;4;0;0;45;6;39;8;18;0;23;1;0;5;5;5;48;12;0;9;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;18;6;0;2;1;0;0;44;0;0;1;0;1;0;0;0;1;0;0;0;0;1;36;18;0;0;0;4
36;0;74;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;8;0;0;20;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;2;0;0;1;0;0;0;0;0;32;0;6;28;0;30;0;0;0;0;0;0;0
37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;32;0;1;0;0;0;45;0;0;24;26;0;0;1;0;0;0;2
38;0;0;0;17;0;0;0;0;2;1;0;2;0;0;0;0;0;0;0;8;0;0;0;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;12;6;0;16;0;0;1;0;0;0;0;59;0;0;0;40;0;0;0;9;0;0;0;0;0;0
39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;14;0;2;21;0;1;4;0;0;57;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;16;0;0
40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;5;71;3;39;3;46;0;5;48;0;0;0;0;2;0;0;0;1;0;0;0;2;5;0;0;5;0;3
41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;1;0;0;5;0;13;0;23;2;0;0;28;0;0;0;0;1;0;3;0;7;1;0;0;0;45;9;32;0;0;0;6
42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;71;13;0;0;23;1;3;0;63;4;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;13;0;1
43;0;1;0;3;0;0;0;0;69;0;0;1;0;0;0;1;0;0;0;2;0;11;0;12;1;0;0;1;0;0;0;0;0;0;0;16;0;12;21;3;0;0;0;0;0;16;0;0;8;1;0;0;0;11;0;24;0;45;8;0;2;2;0;0;0;3;0;0
44;0;0;0;3;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;8;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;6;0;39;23;23;0;0;6;16;0;10;1;0;0;1;2;18;0;0;0;1;0;1;0;16;8;0;0;0;0;10
45;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3;2;1;0;6;0;6;23;2;0;0;1;37;8;3;0;0;0;0;0;11;0;1;14;0;7;17;0;45
46;0;0;0;4;0;0;0;0;1;1;0;9;0;0;0;0;0;0;0;9;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;16;4;46;0;3;16;16;6;0;0;2;19;0;0;1;1;56;0;0;0;10;0;1;0;1;6;0;0;1;0;8
47;0;0;0;0;0;0;0;0;0;0;11;0;76;0;0;0;0;0;0;0;0;0;0;0;12;8;3;0;0;0;17;0;0;0;0;2;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;34;1;5;0;0;0;27;5;0;3
48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;5;28;63;0;10;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;50;7;0;3;0;3
49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;57;48;0;4;8;1;0;19;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;1;0;0;7;0;1
50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;1;15;5;4;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;71;7;23;0;0;6;4;0;0;0;0;0;0
51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;32;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;45;0;3;0;28;0;0;14;2;0;3;4;0;0;0;43
52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;37;1;0;0;0;0;1;0;24;1;0;0;0;0;0;8;0;0;3;0;0;0;0;8
53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;2;8;1;0;0;0;0;45;24;0;2;0;0;1;0;0;24;0;1;2;2;0;0;0;38
54;0;0;0;12;0;0;0;0;2;4;0;5;0;0;0;0;0;0;0;24;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;59;0;2;0;0;11;18;3;56;0;0;3;0;0;1;2;0;0;0;0;9;0;0;0;4;4;0;0;0;0;7
55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;55;1;0;0;0;17;8;63;0;0;6;21
56;0;8;0;0;0;0;0;0;11;0;0;0;0;0;0;12;0;0;0;0;0;70;0;5;2;0;5;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;24;0;0;0;0;0;0;71;0;0;0;0;0;0;1;22;7;0;19;0;0;0;0;0;0;0
57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;1;0;45;0;0;0;7;0;0;0;0;0;0;1;0;7;28;0;1;0;55;1;0;0;0;3;9;3;4;13;0;0;1;20
58;0;0;0;4;0;0;0;0;12;2;0;1;0;0;0;3;0;0;0;5;0;5;0;35;0;0;0;7;0;0;0;0;0;0;0;6;0;40;3;1;1;0;45;1;0;10;0;0;2;23;0;0;0;9;1;22;0;0;2;0;3;32;0;0;0;0;0;1
59;0;8;0;0;0;0;0;0;0;0;1;0;14;0;0;0;0;0;0;0;0;1;0;0;55;2;3;0;0;0;4;0;0;0;0;28;0;0;0;0;0;0;8;0;0;0;34;0;0;0;0;0;0;0;0;7;0;2;0;0;17;0;0;0;1;0;0;0
60;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7;6;0;0;0;1;0;0;0;0;0;24;0;0;0;0;0;0;1;11;1;1;0;0;0;14;8;24;0;0;0;3;0;0;0;22;1;0;0;4;0;0;5
61;0;10;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;3;0;0;4;16;52;0;0;0;1;0;0;0;0;30;26;0;0;0;0;0;2;0;0;0;5;0;0;6;2;0;0;0;0;19;9;3;17;22;0;0;0;0;1;0;0;4
62;0;0;0;3;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;4;0;0;0;7;0;0;0;4;0;0;0;0;0;0;1;0;0;9;0;2;45;1;2;16;1;1;0;1;0;4;0;0;1;4;17;0;3;32;0;1;0;0;3;15;0;0;0;5
63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;5;9;3;0;8;14;6;0;50;1;0;3;3;2;4;8;0;4;0;0;0;0;3;0;39;0;3;14;42
64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;1;0;0;0;32;1;0;0;0;0;0;7;0;0;4;0;2;0;63;0;13;0;0;0;0;15;39;0;0;0;12;24
65;0;0;0;0;0;0;0;0;0;0;1;0;9;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;27;0;0;0;0;0;0;0;0;0;0;0;1;4;1;0;0;0;0;2;0;2
66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;5;0;13;3;0;17;1;5;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;7
67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;14;12;0;0;0;18
68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;4;0;2;0;0;3;6;1;0;10;45;8;3;3;1;0;43;8;38;7;21;0;20;1;0;5;4;5;42;24;2;7;18;0
